id,name,description,work_flow,audio_codec,audio_channel,audio_data_rate,audio_format,audio_sample_rate,audio_sample_size,video_codec,video_bit_rate,video_bit_rate_max_percent,video_bit_rate_method,video_frame_rate,video_frame_size,video_key_frame,adaptive_bframe_placement,adaptive_quant_brightness_base,adaptive_quant_contrast_base,ad_converter,adaptive_quant_complexity_base,alpha_deblocking,aspect_ratio,auto_key_frames_enabled,auto_key_frames,auto_key_frame_threshold,auto_level,automatic_settings_profile,bandwidth_filter,beta_deblocking,bframe_pyramid,bitrate_buffer,bitstream,bitstream_type,black_normalization_level,cabac,center_mix_level_loro,center_mix_level_ltrt,channemapping,color_depth,color_range_and_coeffients,compression_speed,constrained_quality_level,cpu_usage,crc,crf,cut_off_frequency,data_rate_automatic,decode_cpu_cores,dialog_normalization,dolby_surroundex,dolby_surround_mode,drop_frames_threshold,drop_frames_to_maintain_data_rate,drop_frames_watermark,drop_frame_time_code,enable_auto_alt_ref,encoder_mode,encode_type,encoding_threads,error_resilient,fake_interlaced,fast_decode,field_encoding,field_order,film_mode_frame_rate_conversion,fixed_iframe_distance,force_key_frame_every,frame_reordering,header_type,headphone_mode,hf_cut_off,hrd_conformance,idr_rate,input_filtering,input_filtering_dc_fitler,input_filtering_digital_deem_phasis,interlaced,interlace_mode,lagged_frames,level,lfe,lfe_low_pass_filter,line_mode_compression1,line_mode_compression2,max_bframe_size,max_brframe_size,max_iframe_size,maximum_buffer_size,maximum_quality,max_pframe_size,metadata,metadata_copyright_material,metadata_original_material,minimum_distance_to_key_frame,minimum_quality,mixing_level,motion_estimation_algorithm,motion_estimation_search_range,max_bit_rate_percent,noise_sensitivity,number_of_bframes,number_of_bpictures,number_of_reference_frames,number_of_slices,optimal_buffer_level,performance,pixel_aspect_ratio,preset,profile,quality,rate_control_resizing,rate_control_resizing_up_threshold,rate_control_resizing_down_threshold,rf_mode_compression1,rf_mode_compression2,room_type,set_key_frame_at_scene_change,sharpness,speed,starting_buffer_level,static_region_threshold,subpixel_motion_estimation,surround_channel,surround_channel_3d_attenuation,surround_channel_90degree_phase_shift,surround_mix_level_loro,surround_mix_level_ltrt,time_stamp_offset,tns,tune,two_pass_vbr_bias,two_pass_vbr_max_section,two_pass_vbr_min_section,under_shoot_pct,use_4mv,use_bslice_as_reference,use_deblocking_filter,use_intensity_compensation,use_variable_sized_transformation,vbv_buffer_initial,vbv_buffer_target,visual_tuning,write_hrd_parameter,write_seq_end_code,zero_latency
10,FLV.xss,,FormatTemplates.FLV,"Fraunhofer MP3",ChannelModeStereo,128000,"",44100,16,SPARKVideoCodec,256000,,BitRateModeSorensonTwoPassVBR,-1,320x240,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,FLV_F8_FLV_VP6_1200Kbps_480p.spfx,"Flash video for progressive download on fast Wi-Fi network connections.","Web.Progressive Download.Adobe Flash Video.Flash Video (.flv).F8 Progressive Download","SMI MP3 ",ChannelModeMono,128000,"Adobe Flash 8+ (FLV)",44100,16,ON2!VP62,990000,,BitRateModeTwoPassCBR,-1,852x480,10/Seconds,,,,,,,,True,,70,,,,,,,,,,,,,,,,Best,,,,,,,,,,,,False,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,100,,,,,10,0,,,,,0,,,,,10,,,,VP6-E,54,,,,,,,,5,12,6,,,,,,,,,,,70,400,40,100,,,,,,,,,,,
12,FLV_F8_FLV_VP6_2000Kbps_720p.spfx,"Flash video for progressive download on slow broadband network connections.","Web.Progressive Download.Adobe Flash Video.Flash Video (.flv).F8 Progressive Download","SMI MP3 ",ChannelModeStereo,160000,"Adobe Flash 8+ (FLV)",44100,16,ON2!VP62,1800000,,BitRateModeTwoPassCBR,-1,1280x720,10/Seconds,,,,,,,,True,,70,,,,,,,,,,,,,,,,Best,,,,,,,,,,,,False,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,100,,,,,10,0,,,,,0,,,,,10,,,,VP6-E,54,,,,,,,,5,12,6,,,,,,,,,,,70,400,40,100,,,,,,,,,,,
13,FLV_F8_FLV_VP6_3000Kbps_720p.spfx,"Flash video for progressive download on average broadband network connections.","Web.Progressive Download.Adobe Flash Video.Flash Video (.flv).F8 Progressive Download","SMI MP3 ",ChannelModeStereo,160000,"Adobe Flash 8+ (FLV)",44100,16,ON2!VP62,2800000,,BitRateModeTwoPassCBR,-1,1280x720,10/Seconds,,,,,,,,True,,70,,,,,,,,,,,,,,,,Best,,,,,,,,,,,,False,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,100,,,,,10,0,,,,,0,,,,,10,,,,VP6-E,54,,,,,,,,5,12,6,,,,,,,,,,,70,400,40,100,,,,,,,,,,,
14,FLV_F8_FLV_VP6_512Kbps_288p.spfx,"Flash video for progressive download on average 3g network connections.","Web.Progressive Download.Adobe Flash Video.Flash Video (.flv).F8 Progressive Download","SMI MP3 ",ChannelModeMono,96000,"Adobe Flash 8+ (FLV)",44100,16,ON2!VP62,400000,,BitRateModeTwoPassCBR,-1,512x288,10/Seconds,,,,,,,,True,,70,,,,,,,,,,,,,,,,Best,,,,,,,,,,,,False,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,100,,,,,10,0,,,,,0,,,,,10,,,,VP6-E,54,,,,,,,,5,12,6,,,,,,,,,,,70,400,40,100,,,,,,,,,,,
15,FLV_F8_FLV_VP6_768Kbps_360p.spfx,"Flash video for progressive download on fast 3g network connections.","Web.Progressive Download.Adobe Flash Video.Flash Video (.flv).F8 Progressive Download","SMI MP3 ",ChannelModeMono,96000,"Adobe Flash 8+ (FLV)",44100,16,ON2!VP62,600000,,BitRateModeTwoPassCBR,-1,640x360,10/Seconds,,,,,,,,True,,70,,,,,,,,,,,,,,,,Best,,,,,,,,,,,,False,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,100,,,,,10,0,,,,,0,,,,,10,,,,VP6-E,54,,,,,,,,5,12,6,,,,,,,,,,,70,400,40,100,,,,,,,,,,,
16,FLV_YouTube_F8_240p.spfx,"Optimized output for YouTube upload of 240p source files.","Web.Destinations.YouTube.Flash Video (.flv)","SMI MP3 ",ChannelModeStereo,56000,"Adobe Flash 8+ (FLV)",22050,16,ON2!VP62,696000,,BitRateModeTwoPassCBR,-1,320x240,60/Frames,,,,,,,,True,,70,,,,,,,,,,,,,,,,Best,,,,,,,,,,,,False,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,100,,,,,10,0,,,,,0,,,,,10,,,,VP6-E,54,,,,,,,,5,12,6,,,,,,,,,,,70,400,40,100,,,,,,,,,,,
17,M4A.spfx,,FormatTemplates.M4A,"SMI AAC ",ChannelModeStereo,160000,None,44100,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,M4A_128kbit_44kHz_stereo.spfx,"MPEG-4 Audio Format with .m4a extension.","","SMI AAC ",ChannelModeStereo,128000,None,44100,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,M4A_160kbit_44kHz_stereo.spfx,"MPEG-4 Audio Format with .m4a extension.","","SMI AAC ",ChannelModeStereo,160000,None,44100,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,M4A_192kbit_44kHz_stereo.spfx,"MPEG-4 Audio Format with .m4a extension.","","SMI AAC ",ChannelModeStereo,192000,None,44100,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,M4A_256kbit_48kHz_stereo.spfx,"","","SMI AAC ",ChannelModeStereo,256000,None,48000,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,M4A_32kbit_32kHz_mono.spfx,"","","SMI AAC+",ChannelModeMono,32000,None,32000,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,M4A_64kbit_44kHz_mono.spfx,"","","SMI AAC ",ChannelModeStereo,64000,None,44100,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,MKV.spfx,,FormatTemplates.Matroska,"SMI VRBS",ChannelModeStereo,128000,None,44100,16,"ON2!VP8 ",990000,,BitRateModeTwoPassVBR,-1,852x480,10/Seconds,,,,,,,,,,,,,,,,,,,,,,,,,,"Good Quality",31,3,,,,,2,,,,70,False,,,True,,,30,True,,,,,,,,,,,,,,,,,,,Auto,,,,,,,,,10,100,,,,,,5,,,,,0,,,,,6,,,,0,,False,0,30,,,,,3,,6,800,,,,,,,,,,70,600,20,100,,,,,,,,"Structural Similarity",,,
25,MKV_1200Kbps_480p.spfx,"Matroska video for progressive download on fast Wi-Fi network connections.","","SMI VRBS",ChannelModeStereo,128000,None,44100,16,"ON2!VP8 ",990000,,BitRateModeTwoPassVBR,-1,852x480,10/Seconds,,,,,,,,,,,,,,,,,,,,,,,,,,"Good Quality",31,3,,,,,2,,,,70,False,,,True,,,30,True,,,,,,,,,,,,,,,,,,,Auto,,,,,,,,,10,100,,,,,,5,,,,,0,,,,,6,,,,0,,False,0,30,,,,,3,,6,800,,,,,,,,,,70,600,20,100,,,,,,,,"Structural Similarity",,,
26,MKV_2000Kbps_720p.spfx,"Matroska video for progressive download on slow broadband network connections.","","SMI VRBS",ChannelModeStereo,160000,None,44100,16,"ON2!VP8 ",1800000,,BitRateModeTwoPassVBR,-1,1280x720,10/Frames,,,,,,,,,,,,,,,,,,,,,,,,,,"Good Quality",31,0,,,,,2,,,,70,False,,,True,,,30,True,,,,,,,,,,,,,,,,,,,Auto,,,,,,,,,10,100,,,,,,5,,,,,0,,,,,6,,,,0,,False,0,30,,,,,3,,6,800,,,,,,,,,,70,600,20,100,,,,,,,,"Structural Similarity",,,
27,MKV_3000Kbps_720p.spfx,"Matroska video for progressive download on average broadband network connections.","","SMI VRBS",ChannelModeStereo,160000,None,44100,16,"ON2!VP8 ",2800000,,BitRateModeTwoPassVBR,-1,1280x720,10/Seconds,,,,,,,,,,,,,,,,,,,,,,,,,,"Good Quality",31,3,,,,,2,,,,70,False,,,True,,,30,True,,,,,,,,,,,,,,,,,,,Auto,,,,,,,,,10,100,,,,,,5,,,,,0,,,,,6,,,,0,,False,0,30,,,,,3,,6,800,,,,,,,,,,70,600,20,100,,,,,,,,"Structural Similarity",,,
28,MKV_512Kbps_288p.spfx,"Matroska video for progressive download on average 3g network connections.","","SMI VRBS",ChannelModeStereo,64000,None,44100,16,"ON2!VP8 ",400000,,BitRateModeTwoPassVBR,-1,512x288,10/Seconds,,,,,,,,,,,,,,,,,,,,,,,,,,"Good Quality",31,3,,,,,2,,,,70,False,,,True,,,30,True,,,,,,,,,,,,,,,,,,,Auto,,,,,,,,,10,100,,,,,,5,,,,,0,,,,,6,,,,0,,False,0,30,,,,,0,,6,0,,,,,,,,,,70,600,20,100,,,,,,,,"Structural Similarity",,,
29,MKV_768Kbps_360p.spfx,"Matroska video for progressive download on fast 3g network connections.","","SMI VRBS",ChannelModeStereo,96000,None,44100,16,"ON2!VP8 ",600000,,BitRateModeTwoPassVBR,-1,480x360,10/Seconds,,,,,,,,,,,,,,,,,,,,,,,,,,"Good Quality",31,3,,,,,2,,,,70,False,,,True,,,30,True,,,,,,,,,,,,,,,,,,,Auto,,,,,,,,,10,100,,,,,,5,,,,,0,,,,,6,,,,0,,False,0,30,,,,,3,,6,800,,,,,,,,,,70,600,20,100,,,,,,,,"Structural Similarity",,,
30,MOV.xss,,FormatTemplates.QuickTime,"MPEG-4 Audio",ChannelModeStereo,"","",44100,16,SMISV3ProVideoCodec,1024000,,BitRateModeOnePassCBR,-2,720x480,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,MOV_Motion_JPEG.spfx,"High data-rate, low-loss intermediate formate that is universally accessible.  ","Editing.Offline Editing",appllpcm,ChannelModeStereo,0,None,48000,16,applmjpa,"",,"",-1,320x240,"",,,,,,,,,False,,,,,,,,,,,,,,,Color,,,,,,,,True,,,,,,,,,,,,,,,,,,,,300,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,MOV_Wii.spfx,"",Devices.Gaming,appllpcm,ChannelModeStereo,0,None,44100,16,applmjpa,"",,"",-1,852x480,"",,,,,,,,,False,,,,,,,,,,,,,,,Color,,,,,,,,True,,,,,,,,,,,,,,,,,,,,300,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,MOV_h264_1200Kbps_480p.spfx,"QuickTime video for progressive download on fast Wi-Fi network connections.","","applaac ",ChannelModeStereo,0,None,44100,16,MCptH264,990000,150%,BitRateModeTwoPassVBR,-1,852x480,10/Seconds,True,0,0,,0,,,,,,True,,,,False,185624,,,True,CAVLC,,,,,"Range 16-235, ITU-R Rec. BT.470-2",,,,,,,,,,,,,,,,,,,,,,,,"Top Field First",,True,,,,,,False,1,,,,,Progressive,,3.1,,,,,0,0,0,,,0,,,,,,,,,,,0,,,0,,10,"Square Pixels",,Baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,0,100,,,,
34,MOV_h264_2000Kbps_720p.spfx,"QuickTime video for progressive download on slow broadband network connections.","","applaac ",ChannelModeStereo,0,None,44100,16,MCptH264,990000,150%,BitRateModeTwoPassVBR,-1,852x480,10/Seconds,True,0,0,,0,,,,,,True,,,,False,185624,,,True,CABAC,,,,,"Range 16-235, ITU-R Rec. BT.470-2",,,,,,,,,,,,,,,,,,,,,,,,"Top Field First",,True,,,,,,False,1,,,,,Progressive,,3.1,,,,,0,0,0,,,0,,,,,,,,,,,0,,,0,,10,"Square Pixels",,Main,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,0,100,,,,
35,MOV_h264_3000Kbps_720p.spfx,"QuickTime video for progressive download on average broadband network connections.","","applaac ",ChannelModeStereo,0,None,44100,16,MCptH264,2800000,150%,BitRateModeTwoPassVBR,-1,852x480,10/Seconds,True,0,0,,0,,,,,,True,,,,False,525000,,,True,CABAC,,,,,"Range 16-235, ITU-R Rec. BT.470-2",,,,,,,,,,,,,,,,,,,,,,,,"Top Field First",,True,,,,,,False,1,,,,,Progressive,,3.1,,,,,0,0,0,,,0,,,,,,,,,,,0,,,0,,10,"Square Pixels",,High,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,0,100,,,,
36,MOV_h264_512Kbps_288p.spfx,"QuickTime video for progressive download on average 3g network connections.","","applaac ",ChannelModeMono,0,None,22050,16,MCptH264,400000,150%,BitRateModeTwoPassVBR,-1,512x288,10/Seconds,True,0,0,,0,,,,,,True,,,,False,75000,,,True,CAVLC,,,,,"Range 16-235, ITU-R Rec. BT.470-2",,,,,,,,,,,,,,,,,,,,,,,,"Top Field First",,True,,,,,,False,1,,,,,Progressive,,3.1,,,,,0,0,0,,,0,,,,,,,,,,,0,,,0,,10,"Square Pixels",,Baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,0,100,,,,
37,MOV_h264_768Kbps_360p.spfx,"QuickTime video for progressive download on fast 3g network connections.","","applaac ",ChannelModeStereo,0,None,44100,16,MCptH264,600000,150%,BitRateModeTwoPassVBR,-1,640x360,10/Seconds,True,0,0,,0,,,,,,True,,,,False,112500,,,True,CAVLC,,,,,"Range 16-235, ITU-R Rec. BT.470-2",,,,,,,,,,,,,,,,,,,,,,,,"Top Field First",,True,,,,,,False,1,,,,,Progressive,,3.1,,,,,0,0,0,,,0,,,,,,,,,,,0,,,0,,10,"Square Pixels",,Baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,0,100,,,,
38,MP3.xss,,FormatTemplates.MP3,"Fraunhofer MP3",ChannelModeStereo,256000,"",48000,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,MP3_128kbit_44kHz_stereo.spfx,"MPEG-1/Layer 3 Audio File Format.","","SMI MP3 ",ChannelModeStereo,128000,None,44100,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,MP3_192kbit_44kHz_stereo.spfx,"MPEG-1/Layer 3 Audio File Format.","","SMI MP3 ",ChannelModeStereo,192000,None,44100,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,MP3_256kbit_44kHz_stereo.spfx,"MPEG-1/Layer 3 Audio File Format.","","SMI MP3 ",ChannelModeStereo,256000,None,44100,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,MP3_96kbit_44kHz_stereo.spfx,"MPEG-1/Layer 3 Audio File Format.","","SMI MP3 ",ChannelModeStereo,96000,None,44100,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,MP4.xss,,"FormatTemplates.MPEG 4","Coding Technologies aac",ChannelModeStereo,64000,None,44100,16,AVCVideoCodec,1015000,,BitRateModeSorensonTwoPassVBR,-1,640x480,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
